word,n,prob
1949,3,9.162935315785295e-6
1950,2,6.1086235438568626e-6
1954,1,3.0543117719284313e-6
1955,1,3.0543117719284313e-6
1959,2,6.1086235438568626e-6
196,1,3.0543117719284313e-6
1960er,1,3.0543117719284313e-6
1961,2,6.1086235438568626e-6
1962,1,3.0543117719284313e-6
1963,1,3.0543117719284313e-6
1964,3,9.162935315785295e-6
1968,1,3.0543117719284313e-6
1969,7,2.1380182403499018e-5
1970er,1,3.0543117719284313e-6
1970ern,1,3.0543117719284313e-6
1971,1,3.0543117719284313e-6
1972,2,6.1086235438568626e-6
1973,1,3.0543117719284313e-6
1976,2,6.1086235438568626e-6
1978,2,6.1086235438568626e-6
1979,2,6.1086235438568626e-6
1980er,2,6.1086235438568626e-6
1981,3,9.162935315785295e-6
1982,2,6.1086235438568626e-6
1983,4,1.2217247087713725e-5
1985,2,6.1086235438568626e-6
1987,1,3.0543117719284313e-6
1989,14,4.2760364806998036e-5
1990er,3,9.162935315785295e-6
1991,5,1.5271558859642157e-5
1992,2,6.1086235438568626e-6
1993,1,3.0543117719284313e-6
1994,1,3.0543117719284313e-6
1995,3,9.162935315785295e-6
1997,2,6.1086235438568626e-6
1998,2,6.1086235438568626e-6
1999,1,3.0543117719284313e-6
1mdb,2,6.1086235438568626e-6
2,101,3.0848548896477156e-4
"2,2",1,3.0543117719284313e-6
"2,4",1,3.0543117719284313e-6
"2,5",2,6.1086235438568626e-6
"2,6",1,3.0543117719284313e-6
"2,7",1,3.0543117719284313e-6
"2,8",2,6.1086235438568626e-6
2.0,10,3.0543117719284315e-5
20,93,2.840509947893441e-4
20'000,1,3.0543117719284313e-6
200,29,8.857504138592451e-5
200'000,1,3.0543117719284313e-6
2000,8,2.443449417542745e-5
2000er,1,3.0543117719284313e-6
2002,1,3.0543117719284313e-6
2004,1,3.0543117719284313e-6
2005,3,9.162935315785295e-6
2006,5,1.5271558859642157e-5
2007,3,9.162935315785295e-6
2008,1,3.0543117719284313e-6
2010,5,1.5271558859642157e-5
2010er,1,3.0543117719284313e-6
2011,4,1.2217247087713725e-5
2012,2,6.1086235438568626e-6
2013,1,3.0543117719284313e-6
2014,5,1.5271558859642157e-5
2015,7,2.1380182403499018e-5
2016,15,4.581467657892647e-5
2017,19,5.80319236666402e-5
2018,48,1.4660696505256472e-4
2019,111,3.3902860668405586e-4
2020,120,3.6651741263141175e-4
2020er,1,3.0543117719284313e-6
2021,14,4.2760364806998036e-5
2022,14,4.2760364806998036e-5
2023,2,6.1086235438568626e-6
2024,5,1.5271558859642157e-5
2025,1,3.0543117719284313e-6
2026,4,1.2217247087713725e-5
2027,1,3.0543117719284313e-6
2029,1,3.0543117719284313e-6
2030,3,9.162935315785295e-6
2034,1,3.0543117719284313e-6
2035,1,3.0543117719284313e-6
2037,1,3.0543117719284313e-6
2038,2,6.1086235438568626e-6
2049,1,3.0543117719284313e-6
205,1,3.0543117719284313e-6
2050,12,3.665174126314118e-5
208,2,6.1086235438568626e-6
209,1,3.0543117719284313e-6
20907,1,3.0543117719284313e-6
20er,1,3.0543117719284313e-6
21,26,7.941210607013922e-5
210,1,3.0543117719284313e-6
21st,1,3.0543117719284313e-6
22,16,4.88689883508549e-5
220,1,3.0543117719284313e-6
228,2,6.1086235438568626e-6
23,16,4.88689883508549e-5
230,1,3.0543117719284313e-6
2300,1,3.0543117719284313e-6
231,1,3.0543117719284313e-6
237,1,3.0543117719284313e-6
24,23,7.024917075435392e-5
240,1,3.0543117719284313e-6
243,1,3.0543117719284313e-6
245,1,3.0543117719284313e-6
25,28,8.552072961399607e-5
250,5,1.5271558859642157e-5
2500,6,1.832587063157059e-5
26,14,4.2760364806998036e-5
2600,3,9.162935315785295e-6
266,1,3.0543117719284313e-6
26j,1,3.0543117719284313e-6
27,13,3.970605303506961e-5
270,1,3.0543117719284313e-6
270000,1,3.0543117719284313e-6
275,1,3.0543117719284313e-6
28,12,3.665174126314118e-5
280,1,3.0543117719284313e-6
29,18,5.4977611894711765e-5
290,3,9.162935315785295e-6
293,1,3.0543117719284313e-6
298,1,3.0543117719284313e-6
2er,1,3.0543117719284313e-6
2i,1,3.0543117719284313e-6
3,81,2.4739925352620294e-4
"3,3",1,3.0543117719284313e-6
"3,7",3,9.162935315785295e-6
"3,8",1,3.0543117719284313e-6
30,62,1.8936732985956275e-4
300,24,7.330348252628236e-5
3000,4,1.2217247087713725e-5
307,1,3.0543117719284313e-6
30er,1,3.0543117719284313e-6
