word,n,prob
1919,2,3.501805180570584e-6
1922,1,1.750902590285292e-6
1926,2,3.501805180570584e-6
1929,1,1.750902590285292e-6
193,1,1.750902590285292e-6
1939,1,1.750902590285292e-6
1941,1,1.750902590285292e-6
1944,1,1.750902590285292e-6
1948,1,1.750902590285292e-6
195,3,5.2527077708558765e-6
"195,80",1,1.750902590285292e-6
1950,1,1.750902590285292e-6
1950er,2,3.501805180570584e-6
1956,1,1.750902590285292e-6
196,2,3.501805180570584e-6
1960,1,1.750902590285292e-6
1960er,4,7.003610361141168e-6
1961,1,1.750902590285292e-6
1962,1,1.750902590285292e-6
1964,1,1.750902590285292e-6
1967,1,1.750902590285292e-6
1968,1,1.750902590285292e-6
1969,1,1.750902590285292e-6
1970er,6,1.0505415541711753e-5
1971,3,5.2527077708558765e-6
1972,1,1.750902590285292e-6
1974,1,1.750902590285292e-6
1975,3,5.2527077708558765e-6
1976,2,3.501805180570584e-6
1977,1,1.750902590285292e-6
1979,3,5.2527077708558765e-6
198,1,1.750902590285292e-6
1980,2,3.501805180570584e-6
1980er,3,5.2527077708558765e-6
1980ern,1,1.750902590285292e-6
1981,1,1.750902590285292e-6
1982,1,1.750902590285292e-6
1984,4,7.003610361141168e-6
1985,1,1.750902590285292e-6
1986,2,3.501805180570584e-6
1988,2,3.501805180570584e-6
1989,3,5.2527077708558765e-6
1990,3,5.2527077708558765e-6
1991,6,1.0505415541711753e-5
1992,2,3.501805180570584e-6
1994,6,1.0505415541711753e-5
1995,2,3.501805180570584e-6
1996,1,1.750902590285292e-6
1997,2,3.501805180570584e-6
1998,2,3.501805180570584e-6
1999,4,7.003610361141168e-6
1d,1,1.750902590285292e-6
1er,2,3.501805180570584e-6
1x,1,1.750902590285292e-6
2,362,6.338267376832758e-4
"2,0",1,1.750902590285292e-6
"2,1",2,3.501805180570584e-6
"2,21",1,1.750902590285292e-6
"2,25",1,1.750902590285292e-6
"2,26",2,3.501805180570584e-6
"2,28",1,1.750902590285292e-6
"2,3",1,1.750902590285292e-6
"2,42",1,1.750902590285292e-6
"2,45",2,3.501805180570584e-6
"2,5",16,2.8014441444564673e-5
"2,7",2,3.501805180570584e-6
"2,72",1,1.750902590285292e-6
"2,8",2,3.501805180570584e-6
"2,9",1,1.750902590285292e-6
2.0,2,3.501805180570584e-6
2.2,1,1.750902590285292e-6
2.20,1,1.750902590285292e-6
2.90,2,3.501805180570584e-6
20,603,0.001055794261942031
20.1,1,1.750902590285292e-6
20.15,1,1.750902590285292e-6
20.45,1,1.750902590285292e-6
20.50,1,1.750902590285292e-6
20'000,21,3.6768954395991136e-5
20'500,1,1.750902590285292e-6
200,67,1.1731047354911457e-4
200'000,13,2.2761733673708796e-5
2000,32,5.6028882889129345e-5
2000er,2,3.501805180570584e-6
2001,1,1.750902590285292e-6
2002,1,1.750902590285292e-6
2003,4,7.003610361141168e-6
2004,2,3.501805180570584e-6
2005,3,5.2527077708558765e-6
2006,3,5.2527077708558765e-6
2007,5,8.75451295142646e-6
2008,6,1.0505415541711753e-5
2009,9,1.575812331256763e-5
200er,4,7.003610361141168e-6
200km,1,1.750902590285292e-6
2010,6,1.0505415541711753e-5
2011,10,1.750902590285292e-5
2012,9,1.575812331256763e-5
2013,13,2.2761733673708796e-5
2014,12,2.1010831083423506e-5
2015,25,4.37725647571323e-5
2016,29,5.077617511827347e-5
2017,45,7.879061656283815e-5
2018,88,1.540794279451057e-4
2019,241,4.2196752425875537e-4
2019er,8,1.4007220722282336e-5
2020,171,2.994043429387849e-4
2020er,2,3.501805180570584e-6
2021,15,2.6263538854279383e-5
2022,12,2.1010831083423506e-5
2023,3,5.2527077708558765e-6
2024,10,1.750902590285292e-5
2025,8,1.4007220722282336e-5
2026,1,1.750902590285292e-6
2028,1,1.750902590285292e-6
2030,2,3.501805180570584e-6
204,1,1.750902590285292e-6
2040,1,1.750902590285292e-6
205,1,1.750902590285292e-6
2050,9,1.575812331256763e-5
"206,5",1,1.750902590285292e-6
2077,6,1.0505415541711753e-5
208,4,7.003610361141168e-6
209,1,1.750902590285292e-6
20er,1,1.750902590285292e-6
20m,2,3.501805180570584e-6
20x20,1,1.750902590285292e-6
21,167,2.924007325776438e-4
2100,5,8.75451295142646e-6
212,1,1.750902590285292e-6
213,1,1.750902590285292e-6
2132,1,1.750902590285292e-6
214,1,1.750902590285292e-6
22,110,1.9259928493138212e-4
"22,26",1,1.750902590285292e-6
22.80,1,1.750902590285292e-6
22'000,3,5.2527077708558765e-6
220,3,5.2527077708558765e-6
220'000,1,1.750902590285292e-6
2200,1,1.750902590285292e-6
225,1,1.750902590285292e-6
225'000,1,1.750902590285292e-6
227,1,1.750902590285292e-6
228,1,1.750902590285292e-6
2280,1,1.750902590285292e-6
229,1,1.750902590285292e-6
229'999,1,1.750902590285292e-6
23,98,1.7158845384795862e-4
"23,7",2,3.501805180570584e-6
230,2,3.501805180570584e-6
230'000,1,1.750902590285292e-6
